,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG,HF,Diversified PE,Diversified Debt
30% ACWI - 70% AGG,0.076577636,0,0.089839262,0.011809827,0.021437739,0.001984961,0.000494433,-0.000486351,-0.006078469,0,0,0.001026839,0.019774344,-0.006847954,0,0.020112125,-0.001366242,0,0,0.085657912,0.033674886,0,0.250590245,0,0,-0.002017638,0,-0.030891331,0,0.003544289,0,-0.002826077,-0.002916136,0.00156522,0.052182384,0,0.035041095,0,0,0
30% ACWI - 70% AGGU,0.057510065,0,0,0.012908034,0.029600368,0.008529799,-0.030936469,0.015825709,0.010583424,0,0.001317202,0.012631214,0.033146366,0,0,0,0,0,0,0.004482298,0.110558999,0.004592848,0.106815739,0.055829028,0.025462026,0,0,-0.019580001,0,0.02951067,0,-0.011014022,0.00063108,-0.00041574,0.027534205,0.037591305,0.051982272,0,0.052977788,0
30% ACWI - 70% MUB,0.001155146,0.019497195,0.035620224,0.001079883,0.019559216,0,0,0,-0.03162212,0.007129326,0.027859389,0.033270712,0.009572829,0,0.017103896,0.026067367,0.007713146,0.001658021,0,0.062956013,0.028875593,0.013618297,0.160921923,0,0,0,0.082890312,0,0,0.015735486,0,-0.001609857,-0.031639344,0.019390196,0,0,0.003978953,0,0.132967908,0
3i Infrastructure Ord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051459093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50% ACWI - 50% AGG,0.178682935,0,0.127028446,0.036626822,0.023586078,0.005009361,0,0,0,0,0,0.011671026,0.016771712,0,0,0.008075491,0,0,0,0.07024846,0.030207783,0,0.168539267,0,0.004018114,0,0,-0.02811968,0,0,0,0,0,0.003580865,0,0,0.057799696,0,0,0
50% ACWI - 50% AGGU,0.122121966,0.009025816,0.000217698,0.037818338,0.048352299,0.02839111,0,0.011203115,0.008355247,0,0.001584357,0.033181294,0.030660578,0.007699064,0,0,0.002016464,0,0,0.00035356,0.084705122,0.012143087,0.072897949,0.023234368,0.029431936,0.005858688,0,-0.019479823,0,0.014138092,0,0,0,0.000453141,0,0.035570942,0.0642699,0,0.037869842,0
50% ACWI - 50% MUB,0.150531702,0.016025042,0.094713968,0.028503873,0.009464767,0,0,0,-0.024721327,0,0.021153616,0.030409885,0.0046213,0,0.006695677,0.017491996,0.007571862,0,0,0.049380873,0.042092201,0.026056599,0.109989613,0,0,0,0.049451578,0,0,0,0,0,-0.024879908,0.017051152,0,0,0.020131607,0,0.118640098,0
60% ACWI - 40% AGG,0.23795457,0,0.146973956,0.051592067,0.022327895,0.008556374,0,0,0,0,0,0.016643576,0.013606422,0,0,0.005040159,0,0,0,0.056755743,0.007822909,0.00421956,0.130063746,0,0.011415782,0,0,-0.034975892,0,0,0,0,0,0.00522328,0,0,0.061802489,0,0,0
60% ACWI - 40% AGGU,0.190267385,0.008786799,0.045869606,0.047725025,0.03856635,0.025422846,0,0.002429928,0.006144009,0,0,0.033313867,0.023801026,0.009106613,0,0,0.001767983,0,0,0,0.070335219,0.019220608,0.057330001,0.011158651,0.025565761,0,0,-0.028322883,0,0.00559512,0,0,0,0.00277758,0,0.030819641,0.066379099,0,0.050359944,0
60% ACWI - 40% MUB,0.220544289,0.013740862,0.123938238,0.043014767,0.00645123,0.000326617,0,0,-0.020011385,0,0.016885422,0.029381696,0.003127597,0,0.001776567,0.01072124,0.006802114,0,0,0.042720781,0.038510959,0.031363026,0.085035652,0,0,0,0.031645966,0,0,0,0,0,-0.020116883,0.016133722,0,0,0.032846384,0,0.10608737,0
70% ACWI - 30% AGG,0.301318657,0,0.165625443,0.064596798,0.021056262,0.010780378,0,0,0,0,0,0.022417297,0.010274847,0,0,0.002178562,0,0,0,0.044510307,0,0.011062431,0.086594982,0,0.014079383,0,0,-0.037062655,0,0,0,0,0,0.006982356,0,0,0.06364495,0,0,0
70% ACWI - 30% AGGU,0.252283365,0.0042256,0.093005733,0.06083244,0.034012936,0.024307136,0,0,0.00321022,0,0,0.035105535,0.018790474,0.011260498,0,0,0.001443715,0,0,0,0.043130691,0.022630212,0.034624825,0,0.026493521,0.001273362,0,-0.030397376,0,7.97E-05,0,0,0,0.005173915,0,0.025240108,0.07359744,0,0.039731725,0
70% ACWI - 30% MUB,0.282423486,0.008459147,0.155345584,0.057518407,0.007032945,0.00548361,0,0,-0.014400903,0,0.009368051,0.030447125,0.002387778,0,0,0.004490532,0.006358164,0,0,0.033945975,0.022747033,0.035750724,0.060294574,0,0.006430743,0,0.013905205,-0.004088313,0,0,0,0,-0.014535743,0.015222422,0,0,0.046591781,0,0.086669374,0
80% ACWI - 20% AGG,0.362461559,0,0.184375031,0.077514248,0.019818638,0.013340085,0,0,0,0,0,0.028814667,0.007031132,0,0,0,0,0,0,0.032550503,0,0.017043158,0.039216734,0,0.015522041,0,0,-0.033750743,0,0,0,0,0,0.00893763,0,0,0.065750805,0,0.001157407,0
